Report Type : StationReport,,,,
Date,Time,NO,NO2,NOX
,,ppb,ppb,ppb
1/1/18,12:00 AM,,,
1/2/18,12:00 AM,,,
1/3/18,12:00 AM,,,
1/4/18,12:00 AM,,,
1/5/18,12:00 AM,,,
1/6/18,12:00 AM,15.2,19.5,34.8
1/7/18,12:00 AM,7.9,18,26
1/8/18,12:00 AM,51.4,23.3,74.8
1/9/18,12:00 AM,22.2,19.9,42.2
1/10/18,12:00 AM,32.1,28.1,60.3
1/11/18,12:00 AM,13.4,19.6,33.1
1/12/18,12:00 AM,23.7,24.5,48.2
1/13/18,12:00 AM,6.6,14.5,21.3
1/14/18,12:00 AM,63.2,19.5,82.7
1/15/18,12:00 AM,99.2,25.2,124.4
1/16/18,12:00 AM,24.8,25.1,50
1/17/18,12:00 AM,56.3,30.1,86.5
1/18/18,12:00 AM,11.8,19.8,31.7
1/19/18,12:00 AM,17.1,21.9,39.2
1/20/18,12:00 AM,7.1,12.5,19.6
1/21/18,12:00 AM,5,8.9,14
1/22/18,12:00 AM,19.1,23.8,42.9
1/23/18,12:00 AM,27.8,23.8,51.6
1/24/18,12:00 AM,10,20.9,31
1/25/18,12:00 AM,18.4,21.1,39.6
1/26/18,12:00 AM,16.8,21.2,38.1
1/27/18,12:00 AM,7.2,11.2,18.5
1/28/18,12:00 AM,5.9,13.9,19.9
1/29/18,12:00 AM,29.2,22.1,51.4
1/30/18,12:00 AM,24.5,26,50.6
1/31/18,12:00 AM,25.7,25.7,51.6
2/1/18,12:00 AM,13.2,21.4,34.7
2/2/18,12:00 AM,26.8,20.5,47.4
2/3/18,12:00 AM,14.8,14.6,29.5
2/4/18,12:00 AM,12.4,13.6,26.1
2/5/18,12:00 AM,26.6,26.4,53.1
2/6/18,12:00 AM,22.7,22.9,45.6
2/7/18,12:00 AM,37.8,23.9,61.7
2/8/18,12:00 AM,24,17.8,41.9
2/9/18,12:00 AM,22.6,20.5,43.2
2/10/18,12:00 AM,9.9,16.4,26.4
2/11/18,12:00 AM,6.9,12.3,19.2
2/12/18,12:00 AM,9.1,18.8,28
2/13/18,12:00 AM,38.4,31.9,70.4
2/14/18,12:00 AM,30.4,27.7,58.1
2/15/18,12:00 AM,29.9,26.6,56.7
2/16/18,12:00 AM,23,25,48.1
2/17/18,12:00 AM,8.8,13.6,22.5
2/18/18,12:00 AM,5.6,10.2,15.9
2/19/18,12:00 AM,10.1,15.2,25.4
2/20/18,12:00 AM,18.9,23,42
2/21/18,12:00 AM,21.6,22.9,44.6
2/22/18,12:00 AM,9.4,14.4,23.9
2/23/18,12:00 AM,13.7,23.1,36.9
2/24/18,12:00 AM,10.8,17.1,28
2/25/18,12:00 AM,6.5,11.3,17.9
2/26/18,12:00 AM,33.5,29.1,62.8
2/27/18,12:00 AM,12.6,18.5,31.2
2/28/18,12:00 AM,14.6,19.8,34.5
3/1/18,12:00 AM,15.9,25.2,41.1
3/2/18,12:00 AM,23.4,23.9,47.4
3/3/18,12:00 AM,7,15.6,22.6
3/4/18,12:00 AM,13.7,19.5,33.3
3/5/18,12:00 AM,24.9,26.9,51.9
3/6/18,12:00 AM,8.9,14.5,23.6
3/7/18,12:00 AM,21.7,23.5,45.3
3/8/18,12:00 AM,24,24.1,48.2
3/9/18,12:00 AM,,,
3/10/18,12:00 AM,,,
3/11/18,12:00 AM,40.8,33.3,74.2
3/12/18,12:00 AM,74,29.6,103.7
3/13/18,12:00 AM,28.3,28.5,56.9
3/14/18,12:00 AM,25.3,24.2,49.6
3/15/18,12:00 AM,25.9,19.6,45.7
3/16/18,12:00 AM,15,18.3,33.4
3/17/18,12:00 AM,16.7,19.6,36.4
3/18/18,12:00 AM,13.3,18.2,31.6
3/19/18,12:00 AM,28.7,24.1,53
3/20/18,12:00 AM,15.4,17.2,32.7
3/21/18,12:00 AM,58.9,36,95
3/22/18,12:00 AM,26.5,28.2,54.8
3/23/18,12:00 AM,15.4,21,36.5
3/24/18,12:00 AM,17.1,19.9,37.1
3/25/18,12:00 AM,11.5,15.7,27.3
3/26/18,12:00 AM,15.8,18.4,34.3
3/27/18,12:00 AM,17.4,19.4,36.9
3/28/18,12:00 AM,10.4,14.3,24.9
3/29/18,12:00 AM,22.9,21.3,44.3
3/30/18,12:00 AM,22,21.1,43.3
3/31/18,12:00 AM,14.9,18.1,33.1
4/1/18,12:00 AM,4.4,9.2,13.7
4/2/18,12:00 AM,17.4,20.4,37.9
4/3/18,12:00 AM,18.7,25.3,44.2
4/4/18,12:00 AM,6.5,16.9,23.5
4/5/18,12:00 AM,34.9,20.8,55.8
4/6/18,12:00 AM,28.7,20.4,49.3
4/7/18,12:00 AM,15.1,17.5,32.7
4/8/18,12:00 AM,5.6,8.1,13.8
4/9/18,12:00 AM,19.7,25.2,45
4/10/18,12:00 AM,22.6,25.1,47.7
4/11/18,12:00 AM,9,17.7,26.8
4/12/18,12:00 AM,21.2,20.5,41.8
4/13/18,12:00 AM,9.2,14.6,23.9
4/14/18,12:00 AM,9.7,17.4,27.2
4/15/18,12:00 AM,4.8,11,15.9
4/16/18,12:00 AM,15.9,21.2,37.2
4/17/18,12:00 AM,20.5,21.1,41.7
4/18/18,12:00 AM,9.4,13.3,22.7
4/19/18,12:00 AM,21.1,20,41.2
4/20/18,12:00 AM,20.3,23.7,44.1
4/21/18,12:00 AM,3.7,10.8,14.7
4/22/18,12:00 AM,2.3,9.2,11.6
4/23/18,12:00 AM,15,19.7,34.8
4/24/18,12:00 AM,22.7,24.4,47.4
4/25/18,12:00 AM,13.5,20.2,33.8
4/26/18,12:00 AM,17.2,25.4,42.7
4/27/18,12:00 AM,23.1,22.4,45.5
4/28/18,12:00 AM,12,15.3,27.3
4/29/18,12:00 AM,10,12.8,22.8
4/30/18,12:00 AM,28,26.9,55
5/1/18,12:00 AM,36.1,29.8,66
5/2/18,12:00 AM,,,
5/3/18,12:00 AM,32.1,21.1,53.3
5/4/18,12:00 AM,21.3,19.3,40.6
5/5/18,12:00 AM,9.8,15.6,25.4
5/6/18,12:00 AM,17.8,21.3,39.2
5/7/18,12:00 AM,26.3,24.3,50.6
5/8/18,12:00 AM,38,24.8,62.9
5/9/18,12:00 AM,20.5,19.6,40.1
5/10/18,12:00 AM,21.6,20.7,42.3
5/11/18,12:00 AM,15.9,17.8,33.8
5/12/18,12:00 AM,6,11.6,17.8
5/13/18,12:00 AM,26.6,30,56.7
5/14/18,12:00 AM,38,35.1,73.1
5/15/18,12:00 AM,22.6,18.2,41
5/16/18,12:00 AM,26.9,17.7,44.7
5/17/18,12:00 AM,25.9,19.6,45.6
5/18/18,12:00 AM,48.3,28,76.4
5/19/18,12:00 AM,47.8,31,78.9
5/20/18,12:00 AM,10.7,14.2,25
5/21/18,12:00 AM,15.9,13.9,29.9
5/22/18,12:00 AM,19,16.4,35.5
5/23/18,12:00 AM,33.7,28.5,62.3
5/24/18,12:00 AM,28.5,18.4,47
5/25/18,12:00 AM,11.5,12.4,23.9
5/26/18,12:00 AM,8.4,12.5,21
5/27/18,12:00 AM,10.6,14.1,24.9
5/28/18,12:00 AM,7.6,8.2,15.9
