Report Type : StationReport,,,,,,,,,,,
Date,Time,Wind Spd S,Wind Dir S,Temp Amb 10m,NO,NO2,NOX,WAQA_CO,BC_633,UV_633,BAM_PM25
,,MPH,Deg,DegF,ppb,ppb,ppb,ppm,ug/m^3 (s),ug/m^3 (s),ug/m^3
1/1/18,12:00 AM,2.9,29.8,36.6,,,,0.366,0.7,1.6,9.7
1/2/18,12:00 AM,2.6,30.5,39.3,,,,0.496,1.2,1.9,8
1/3/18,12:00 AM,2.2,39,40.9,,,,0.588,1.4,2.3,9.7
1/4/18,12:00 AM,1.9,133.9,42.9,,,,1.043,4.7,6.6,21
1/5/18,12:00 AM,2.9,139.6,47.1,,,,0.652,2.8,3.8,10.9
1/6/18,12:00 AM,4.4,177.9,44.6,15.2,19.5,34.8,0.425,0.8,1,5
1/7/18,12:00 AM,2.8,121.9,43.1,7.9,18,26,0.392,0.7,1.3,7.1
1/8/18,12:00 AM,2.1,143.7,45.9,51.4,23.3,74.8,0.623,2.2,2.7,8.2
1/9/18,12:00 AM,3.3,122.6,44.2,22.2,19.9,42.2,0.387,1,1.3,4.6
1/10/18,12:00 AM,4.7,176.1,43.1,32.1,28.1,60.3,0.463,1.6,1.9,5.4
1/11/18,12:00 AM,5.4,137.4,45.9,13.4,19.6,33.1,0.378,0.8,1,3.4
1/12/18,12:00 AM,7.7,197.1,49.9,23.7,24.5,48.2,0.416,1.3,1.4,4.6
1/13/18,12:00 AM,2.9,52.7,49.7,6.6,14.5,21.3,0.358,0.5,0.8,5.5
1/14/18,12:00 AM,2.2,242.6,46.8,63.2,19.5,82.7,0.693,1.6,2.3,9.6
1/15/18,12:00 AM,2.4,148.2,50.2,99.2,25.2,124.4,0.856,3.4,4.7,13.8
1/16/18,12:00 AM,5.2,164.2,50.1,24.8,25.1,50,0.47,1.4,1.9,6.4
1/17/18,12:00 AM,4.1,152.6,49.9,56.3,30.1,86.5,0.594,2.4,2.9,8
1/18/18,12:00 AM,6.5,179.6,44.5,11.8,19.8,31.7,0.324,1,1.1,4.7
1/19/18,12:00 AM,7.1,167.9,43.6,17.1,21.9,39.2,0.4,1,1.3,4.3
1/20/18,12:00 AM,7.5,172.8,44.1,7.1,12.5,19.6,0.332,0.4,0.6,2.2
1/21/18,12:00 AM,10.1,179.7,46.9,5,8.9,14,0.281,0.2,0.3,0.9
1/22/18,12:00 AM,7.1,176.1,43.4,19.1,23.8,42.9,0.418,1.1,1.4,5
1/23/18,12:00 AM,2.7,113.5,42.6,27.8,23.8,51.6,0.443,1.1,1.4,3.3
1/24/18,12:00 AM,5.4,150.3,45.4,10,20.9,31,0.346,0.6,0.7,1.9
1/25/18,12:00 AM,5.7,161.1,40.5,18.4,21.1,39.6,0.37,0.9,1,4.1
1/26/18,12:00 AM,8,172.3,40.3,16.8,21.2,38.1,0.356,0.9,1,3.4
1/27/18,12:00 AM,7.7,161.3,44.8,7.2,11.2,18.5,0.331,0.4,0.5,3.2
1/28/18,12:00 AM,3.9,127.6,49,5.9,13.9,19.9,0.346,0.5,0.8,3.2
1/29/18,12:00 AM,5.5,170.8,47.9,29.2,22.1,51.4,0.437,1.5,1.7,4.5
1/30/18,12:00 AM,7.6,202.4,44.4,24.5,26,50.6,0.409,1.1,1.3,6.5
1/31/18,12:00 AM,6.3,184.3,43,25.7,25.7,51.6,0.458,1.7,1.7,5.5
2/1/18,12:00 AM,3.6,143.3,44.4,13.2,21.4,34.7,0.394,0.9,1.3,4.2
2/2/18,12:00 AM,7.7,200.9,50.2,26.8,20.5,47.4,0.389,1.2,1.5,3.5
2/3/18,12:00 AM,7.2,195.7,49.5,14.8,14.6,29.5,0.351,0.8,0.9,2.2
2/4/18,12:00 AM,8.5,204.6,51.7,12.4,13.6,26.1,0.3,0.3,0.4,1.1
2/5/18,12:00 AM,6.7,204.7,47.9,26.6,26.4,53.1,0.416,1.3,1.4,3.6
2/6/18,12:00 AM,4.8,187.8,46.7,22.7,22.9,45.6,0.419,1.4,1.8,3.5
2/7/18,12:00 AM,4.8,184.7,50.4,37.8,23.9,61.7,0.529,1.8,2.2,6.4
2/8/18,12:00 AM,7.4,198.5,49.3,24,17.8,41.9,0.373,1.2,1.4,4.8
2/9/18,12:00 AM,3.4,118.7,43.6,22.6,20.5,43.2,0.424,1.2,1.5,5.3
2/10/18,12:00 AM,3.3,25.3,39.1,9.9,16.4,26.4,0.395,0.7,1.2,6.1
2/11/18,12:00 AM,3.7,21.8,39.2,6.9,12.3,19.2,0.364,0.6,1.2,8.5
2/12/18,12:00 AM,4.2,13.2,38.6,9.1,18.8,28,0.377,0.5,0.8,3.3
2/13/18,12:00 AM,2.9,123.8,38.3,38.4,31.9,70.4,0.611,1.8,2.7,10.6
2/14/18,12:00 AM,4.5,167.9,39.6,30.4,27.7,58.1,0.478,1.4,1.7,6.2
2/15/18,12:00 AM,4.2,171.7,41.2,29.9,26.6,56.7,0.519,1.5,1.9,8.6
2/16/18,12:00 AM,7.9,199.3,44.3,23,25,48.1,0.411,1.2,1.5,4.7
2/17/18,12:00 AM,11.8,205.9,45.1,8.8,13.6,22.5,0.287,0.3,0.4,
2/18/18,12:00 AM,7.3,300.3,34.9,5.6,10.2,15.9,0.308,0.2,0.3,
2/19/18,12:00 AM,4.4,5,32.1,10.1,15.2,25.4,0.37,0.5,0.7,
2/20/18,12:00 AM,2.9,56,31.9,18.9,23,42,0.419,1,1.4,
2/21/18,12:00 AM,3.3,117.7,30.5,21.6,22.9,44.6,0.448,0.9,1.2,7
2/22/18,12:00 AM,4.4,2.4,32.6,9.4,14.4,23.9,0.346,0.4,0.6,
2/23/18,12:00 AM,5.3,145.6,31.3,13.7,23.1,36.9,0.402,1.9,2.3,6
2/24/18,12:00 AM,6.1,192.7,39.7,10.8,17.1,28,0.366,0.5,0.7,4.9
2/25/18,12:00 AM,8.5,179.3,39.8,6.5,11.3,17.9,0.301,0.3,0.3,3.5
2/26/18,12:00 AM,3.5,178.1,38.7,33.5,29.1,62.8,0.536,1.5,1.8,6.1
2/27/18,12:00 AM,6.4,163.7,40.6,12.6,18.5,31.2,0.348,0.9,1,5.7
2/28/18,12:00 AM,4,140.1,42.1,14.6,19.8,34.5,0.385,0.9,1.1,5.1
3/1/18,12:00 AM,3.8,120,43.7,15.9,25.2,41.1,0.439,1.1,1.3,6.4
3/2/18,12:00 AM,3.9,155.6,41,23.4,23.9,47.4,0.429,1.1,1.3,6.3
3/3/18,12:00 AM,3.9,18.9,41.6,7,15.6,22.6,0.386,0.5,0.8,5.6
3/4/18,12:00 AM,3.7,144.3,40,13.7,19.5,33.3,0.47,0.9,1.6,9.3
3/5/18,12:00 AM,3.6,191.5,42.6,24.9,26.9,51.9,0.458,1.2,1.5,5.6
3/6/18,12:00 AM,4,21.3,43.8,8.9,14.5,23.6,0.348,0.5,0.8,4.3
3/7/18,12:00 AM,4,358.4,42.3,21.7,23.5,45.3,0.482,0.9,1.2,5.1
3/8/18,12:00 AM,6.7,144.3,45.5,24,24.1,48.2,0.433,1.2,1.6,7.3
3/9/18,12:00 AM,5.3,234.1,44.8,,,,,1.5,1.8,7.6
3/10/18,12:00 AM,3.2,12.2,45.5,,,,,1,1.5,8.5
3/11/18,12:00 AM,2.6,152.2,49.9,40.8,33.3,74.2,0.638,1.7,2.5,12.8
3/12/18,12:00 AM,2.7,123.7,56.9,74,29.6,103.7,0.574,3,3.8,12.1
3/13/18,12:00 AM,4.1,154.2,52.8,28.3,28.5,56.9,0.419,1.5,1.8,5.3
3/14/18,12:00 AM,5.8,174.3,47,25.3,24.2,49.6,0.462,1.2,1.4,5.1
3/15/18,12:00 AM,3.7,15.9,44.9,25.9,19.6,45.7,0.443,1.1,1.3,6.9
3/16/18,12:00 AM,3.9,10.3,47.4,15,18.3,33.4,0.43,0.7,0.9,6.5
3/17/18,12:00 AM,5,182.1,45.6,16.7,19.6,36.4,0.476,0.9,1.3,8.7
3/18/18,12:00 AM,3.3,195.9,47,13.3,18.2,31.6,0.441,0.7,0.9,4.7
3/19/18,12:00 AM,2.9,44.1,45.8,28.7,24.1,53,0.489,1.4,1.8,8.8
3/20/18,12:00 AM,3.5,10.9,45.2,15.4,17.2,32.7,0.384,0.7,0.9,6.5
3/21/18,12:00 AM,2.3,155.1,47,58.9,36,95,0.688,2.2,2.8,12.4
3/22/18,12:00 AM,6.5,185.6,43.8,26.5,28.2,54.8,0.433,1.4,1.7,6.3
3/23/18,12:00 AM,5.3,175.7,41,15.4,21,36.5,0.41,0.9,1,2.7
3/24/18,12:00 AM,4.8,225,42,17.1,19.9,37.1,0.456,0.7,0.9,5.1
3/25/18,12:00 AM,5.8,173.5,43.3,11.5,15.7,27.3,0.41,0.7,1.1,5.8
3/26/18,12:00 AM,10.9,186.2,44.2,15.8,18.4,34.3,0.358,0.9,1,3.6
3/27/18,12:00 AM,9.9,190.7,48.8,17.4,19.4,36.9,0.364,1,1.2,3.7
3/28/18,12:00 AM,3.9,83.6,46.7,10.4,14.3,24.9,0.342,0.6,0.7,5.2
3/29/18,12:00 AM,4.6,190.6,48.9,22.9,21.3,44.3,0.445,1.2,1.4,6.2
3/30/18,12:00 AM,6,208,51,22,21.1,43.3,0.407,1.1,1.2,5.9
3/31/18,12:00 AM,3.7,327.4,49.5,14.9,18.1,33.1,0.398,0.7,0.8,7
4/1/18,12:00 AM,7.8,161.6,42.5,4.4,9.2,13.7,0.269,0.2,0.3,3.7
4/2/18,12:00 AM,6,188,43.4,17.4,20.4,37.9,0.393,0.8,0.8,4.4
4/3/18,12:00 AM,3.9,164.7,45.5,18.7,25.3,44.2,0.409,1.1,1.2,6.7
4/4/18,12:00 AM,2.5,108.2,44.4,6.5,16.9,23.5,0.335,0.6,0.7,3.4
4/5/18,12:00 AM,2.2,119.7,50.1,34.9,20.8,55.8,0.46,1.8,2.3,8.1
4/6/18,12:00 AM,2.8,113.8,56.3,28.7,20.4,49.3,0.481,1.4,1.6,5.5
4/7/18,12:00 AM,6.8,190.4,51.6,15.1,17.5,32.7,0.344,0.7,0.9,5.9
4/8/18,12:00 AM,10.1,180.8,48.1,5.6,8.1,13.8,0.278,0.2,0.3,3.1
4/9/18,12:00 AM,3.7,272.9,52.2,19.7,25.2,45,0.469,1.3,1.6,6
4/10/18,12:00 AM,6.7,207.5,53.2,22.6,25.1,47.7,0.397,1.3,1.5,7.1
4/11/18,12:00 AM,4.5,141.1,48.3,9,17.7,26.8,0.355,0.6,0.7,3.7
4/12/18,12:00 AM,7.2,191.4,45.1,21.2,20.5,41.8,0.415,1,1.2,4
4/13/18,12:00 AM,8.9,167.9,47.7,9.2,14.6,23.9,0.336,0.7,0.8,4.3
4/14/18,12:00 AM,4.1,181.4,47.9,9.7,17.4,27.2,0.412,0.7,0.8,4.2
4/15/18,12:00 AM,4.4,343.6,46.2,4.8,11,15.9,0.315,0.2,0.4,3.7
4/16/18,12:00 AM,10.2,192.5,44.8,15.9,21.2,37.2,0.344,0.9,1,4.7
4/17/18,12:00 AM,8.6,206.9,47.5,20.5,21.1,41.7,0.402,1.1,1.2,
4/18/18,12:00 AM,3.7,21.6,48.8,9.4,13.3,22.7,0.339,0.6,0.7,
4/19/18,12:00 AM,3.7,5.3,51,21.1,20,41.2,0.403,1,1.2,
4/20/18,12:00 AM,4.6,206.8,52.8,20.3,23.7,44.1,0.446,1.1,1.3,
4/21/18,12:00 AM,6.2,148.3,48.9,3.7,10.8,14.7,0.234,0.3,0.4,9.2
4/22/18,12:00 AM,4.3,21,49.6,2.3,9.2,11.6,0.26,0.2,0.4,9
4/23/18,12:00 AM,4,26.7,55.9,15,19.7,34.8,0.414,1.3,1.4,7.6
4/24/18,12:00 AM,4,6.5,62.4,22.7,24.4,47.4,0.421,1.7,2,9.2
4/25/18,12:00 AM,3.8,7.8,62.6,13.5,20.2,33.8,0.427,1.2,1.3,8.5
